Case,Total victims,Location,Prior signs of possible mental illness,Type,cloud,Injured,Type of weapons,Mental Health Sources,latitude,Weapon details,Gender,Venue,Summary,tokens,Date,Race,Weapons obtained legally,Mental Health,longitude,Sources,Fatalities,Year,Where obtained
Seattle cafe shooting,7,"Seattle, Washington",Yes,Spree,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",1,Two semiautomatic handguns,http://usnews.nbcnews.com/_news/2012/05/30/11959312-six-killed-in-seattle-shootings-including-suspect?lite,47.6038321,Two .45-caliber semiautomatic handguns,Male,Other,"Ian Stawicki, 40, gunned down four patrons at a cafe, and another person during a carjacking nearby, then shot himself as police closed in. (He died later that day in a Seattle hospital.)","['ian', 'stawicki', '40', 'gunned', 'four', 'patrons', 'cafe', 'another', 'person', 'carjacking', 'nearby', 'shot', 'police', 'closed', 'died', 'later', 'day', 'seattle', 'hospital', 'family', 'said', 'mentally', 'ill']",5/20/2012,white,Yes,His family said he was mentally ill,-122.3300624,http://usnews.nbcnews.com/_news/2012/05/30/11959312-six-killed-in-seattle-shootings-including-suspect?lite; http://www.cbsnews.com/8301-201_162-57445177/seattle-shooting-hero-hurled-stools-at-gunman-ian-stawicki-saved-three-lives/?pageNum=2&tag=contentMain;contentBody; http://content.usatoday.com/communities/ondeadline/post/2012/05/seattle-killer-had-concealed-carry-permit-owned-6-guns/1#.UFI9shhgspQ,6,2012,"Bull's Eye Shooter Supply in Tacoma, Wash."
Oikos University killings,10,"Oakland, California",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",3,One semiautomatic handgun,http://berkeley.patch.com/articles/one-l-goh-showed-violent-tendencies-before-the-oikos-university-shooting-oikos-university-shooting; http://blog.sfgate.com/eguillermo/2012/04/05/something-still-doesnt-compute-in-the-one-goh-nightmare/,37.8043808,.45-caliber semiautomatic handgun,Male,School,"One L. Goh, 43, a former student, opened fire in a nursing classroom. He fled the scene by car and was arrested nearby a few hours later.","['one', 'l', 'goh', '43', 'former', 'student', 'opened', 'fire', 'nursing', 'classroom', 'fled', 'scene', 'car', 'arrested', 'nearby', 'hours', 'later', 'former', 'instructor', 'oikos', 'described', 'mentally', 'unstable', 'paranoid']",4/2/2012,Asian,Yes,"A former instructor at Oikos described him as ""mentally unstable"" and ""paranoid.""",-122.2708166,http://blog.sfgate.com/eguillermo/2012/04/05/something-still-doesnt-compute-in-the-one-goh-nightmare/; http://www.mercurynews.com/top-stories/ci_20308252/police-respond-shooting-east-oakland; http://www.cbsnews.com/8301-504083_162-57408732-504083/gun-used-in-oikos-university-shooting-rampage-was-bought-legally-police-say/; http://berkeley.patch.com/articles/one-l-goh-showed-violent-tendencies-before-the-oikos-university-shooting-oikos-university-shooting,7,2012,"Bullseye in Castro Valley, Calif."
Su Jung Health Sauna shooting,5,"Norcross, Georgia",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",0,One semiautomatic handgun,http://www.gwinnettdailypost.com/news/2012/feb/23/police-id-4-victims-shooter-in-spa-killing/,33.9412127,.45-caliber semiautomatic handgun,Male,Other,"Jeong Soo Paek, 59, returned to a Korean spa from which he'd been kicked out after an altercation. He gunned down two of his sisters and their husbands before committing suicide.","['jeong', 'soo', 'paek', '59', 'returned', 'korean', 'spa', 'kicked', 'altercation', 'gunned', 'two', 'sisters', 'husbands', 'committing', 'suicide', 'sister', 'worried', 'homicidal', 'tendencies', 'said', 'mental', 'health', 'deteriorating', 'threatened', 'commit', 'suicide', 'gun']",2/22/2012,Asian,Yes,His sister worried about his homicidal tendencies; she said his mental health had been deteriorating and that he had threatened to commit suicide with his gun.,-84.2135309,http://www.gwinnettdailypost.com/news/2012/feb/23/police-id-4-victims-shooter-in-spa-killing/; http://www.cbsnews.com/8301-504083_162-57479989-504083/shooting-sprees-in-2012-crimesider-reports-on-some-of-the-countrys-worst-public-shootings-this-year/; http://chronicle.augusta.com/news/metro/2012-02-22/victims-korean-spa-shooting-near-atlanta-were-2-married-couples-gunman-was; http://onlineathens.com/local-news/2012-02-23/mass-shooting-spa-shocks-ga-korean-community,5,2012,Unknown
Seal Beach shooting,9,"Seal Beach, California",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",1,"Two semiautomatic handguns, one revolver",http://laist.com/2011/10/13/seal_beach_shooter_suffered_from_ptsd.php,33.741176,".45-caliber Heckler & Koch, 9mm Springfield semiautomatic handguns; .44 Magnum Smith & Wesson revolver",Male,Other,"Scott Evans Dekraai, 42, opened fire inside a hair salon and was later arrested.","['scott', 'evans', 'dekraai', '42', 'opened', 'fire', 'inside', 'hair', 'salon', 'later', 'arrested', 'suffered', 'bipolar', 'disorder', 'mood', 'swings', 'ptsd']",10/14/2011,white,Yes,"He suffered from bipolar disorder, mood swings, and PTSD.",-118.1046356,http://laist.com/2011/10/13/seal_beach_shooter_suffered_from_ptsd.php; http://blogs.ocweekly.com/navelgazing/2011/10/hair_salon_seal_beach_shooting.php; http://latimesblogs.latimes.com/lanow/2011/10/seal-beach-shooting-suspect-had-been-ordered-not-to-carry-guns-.html,8,2011,Unknown
IHOP shooting,12,"Carson City, Nevada",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",7,"Two rifles (both assault), one revolver",http://www.huffingtonpost.com/2011/11/03/eduardo-sencion-ihop-shooter_n_1073677.html,39.1637984,"AK-47 Norinco Arms variant, AK-47 Romarm Cugir variant rifles; .38-caliber Colt revolver",Male,Other,"Eduardo Sencion, 32, opened fire at an International House of Pancakes restaurant and later died from a self-inflicted gunshot wound.","['eduardo', 'sencion', '32', 'opened', 'fire', 'international', 'house', 'pancakes', 'restaurant', 'later', 'died', 'self', 'inflicted', 'gunshot', 'wound', 'diagnosed', 'paranoid', 'schizophrenia', 'teenager', 'feared', 'demons', 'get']",9/6/2011,Latino,Yes,He was diagnosed with paranoid schizophrenia as a teenager and feared demons were out to get him.,-119.7674034,http://www.huffingtonpost.com/2011/11/03/eduardo-sencion-ihop-shooter_n_1073677.html; http://www.lasvegassun.com/news/2011/sep/06/report-seven-shot-inside-carson-city-ihop/; http://www.lasvegassun.com/news/2011/oct/23/nv-gun-laws-rampage-2nd-ld-writethru/,5,2011,Purchased from an individual
Tucson shooting,19,"Tucson, Arizona",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",13,One semiautomatic handgun,"http://www.time.com/time/magazine/article/0,9171,2042358,00.html",32.2217429,9mm Glock 19 semiautomatic handgun,Male,Other,"Jared Loughner, 22, opened fire outside a Safeway during a constituent meeting with Congresswoman Gabrielle Giffords (D-Ariz.) before he was subdued by bystanders and arrested.","['jared', 'loughner', '22', 'opened', 'fire', 'outside', 'safeway', 'constituent', 'meeting', 'congresswoman', 'gabrielle', 'giffords', 'd', 'ariz', 'subdued', 'bystanders', 'arrested', 'symptoms', 'pointed', 'various', 'possible', 'mental', 'illness', 'diagnoses', 'schizophrenia', 'delusional', 'disorder', 'also', 'experimented', 'pot', 'hallucinogens']",1/8/2011,white,Yes,"His symptoms pointed to various possible mental illness diagnoses, such as schizophrenia and delusional disorder. He also experimented with pot and hallucinogens.",-110.926479,"http://www.time.com/time/magazine/article/0,9171,2042358,00.html; http://www.csmonitor.com/USA/Politics/2011/0110/Why-Jared-Loughner-was-allowed-to-buy-a-gun; http://www.nytimes.com/2011/01/09/us/politics/09giffords.html?ref=jaredleeloughner",6,2011,"Sportsmen's Warehouse in Tucson, Ariz."
Hartford Beer Distributor shooting,11,"Manchester, Connecticut",No,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",2,Two semiautomatic handguns,http://www.cbsnews.com/8301-504083_162-20012557-504083.html,41.7759324,Two 9mm Ruger SR9 semiautomatic handguns,Male,Workplace,"Omar S. Thornton, 34, shot up his Hartford Beer Distributor workplace after facing disciplinary issues, then committed suicide.","['omar', 's', 'thornton', '34', 'shot', 'hartford', 'beer', 'distributor', 'workplace', 'facing', 'disciplinary', 'issues', 'committed', 'suicide', 'apparently', 'driven', 'edge', 'unaddressed', 'ongoing', 'racism', 'work']",8/3/2010,black,Yes,"He apparently was driven over the edge by unaddressed, ongoing racism against him at work",-72.5214755,http://www.cbsnews.com/8301-504083_162-20012557-504083.html; http://www.msnbc.msn.com/id/38535909/ns/us_news-crime_and_courts/t/dead-shooting-conn-beer-distributor/#.UFGJAqRrND4; http://www.foxnews.com/us/2010/08/03/dead-wounded-conn-workplace-shooting/,9,2010,"Gun dealer in East Windsor, Conn."
Coffee shop police killings,5,"Parkland, Washington",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",1,One semiautomatic handgun,http://seattletimes.com/html/localnews/2010385617_webmansought29.html,47.155846,9mm Glock 17 semiautomatic handgun; .38-caliber Smith & Wesson revolver,Male,Other,"Maurice Clemmons, 37, a felon who was out on bail for child-rape charges, entered a coffee shop on a Sunday morning and shot four police officers who had gone there to use their laptops before their shifts. Clemmons, who was wounded fleeing the scene, was later shot dead by a police officer in Seattle after a two-day manhunt.","['maurice', 'clemmons', '37', 'felon', 'bail', 'child', 'rape', 'charges', 'entered', 'coffee', 'shop', 'sunday', 'morning', 'shot', 'four', 'police', 'officers', 'gone', 'use', 'laptops', 'shifts', 'clemmons', 'wounded', 'fleeing', 'scene', 'later', 'shot', 'dead', 'police', 'officer', 'seattle', 'two', 'day', 'manhunt', 'history', 'erratic', 'bizarre', 'behavior', 'asked', 'family', 'get', 'naked', '5', 'minutes', 'sunday', 'said', 'thought', 'world', 'end', 'jesus']",11/29/2009,black,No,"He had a history of erratic, bizarre behavior. He once asked his family to get naked for 5 minutes on Sunday; he said he thought the world would end and that he was Jesus.",-122.437031,http://seattletimes.com/html/localnews/2010385617_webmansought29.html; http://www.nytimes.com/2009/11/30/us/30tacoma.html?_r=1; http://seattletimes.com/html/localnews/2014155225_clemmons08m.html,4,2009,Stolen from an individual in Seattle.
Fort Hood massacre,43,"Fort Hood, Texas",Unclear,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",30,One semiautomatic handgun,http://www.npr.org/templates/story/story.php?storyId=120313570,31.2011305,FN Five-seven semiautomatic handgun,Male,Military,"Army psychiatrist Nidal Malik Hasan, 39, opened fire on an Army base in an attack linked to Islamist extremism. Hasan was injured during the attack and later arrested.","['army', 'psychiatrist', 'nidal', 'malik', 'hasan', '39', 'opened', 'fire', 'army', 'base', 'attack', 'linked', 'islamist', 'extremism', 'hasan', 'injured', 'attack', 'later', 'arrested', 'medical', 'officials', 'walter', 'reed', 'army', 'medical', 'center', 'uniformed', 'services', 'university', 'health', 'sciences', 'raised', 'concerns', 'prior', 'shooting', 'regarding', ""hasan's"", 'aloof', 'erratic', 'behavior', 'extremist', 'islamic', 'views']",11/5/2009,Other,Yes,Medical officials at Walter Reed Army Medical Center and the Uniformed Services University of the Health Sciences raised concerns prior to the shooting regarding Hasan's aloof and erratic behavior and extremist Islamic views.,-97.77156996,http://seattletimes.com/html/nationworld/2010232219_apusforthoodshooting.html; http://articles.latimes.com/2010/oct/21/nation/la-na-fort-hood-20101022; http://thelede.blogs.nytimes.com/2009/11/05/reports-of-mass-shooting-at-fort-hood/; http://www.usatoday.com/news/military/story/2012-08-14/fort-hood-rampage-trial/57050394/1,13,2009,"Guns Galore in Kileen, Texas"
Binghamton shootings,18,"Binghamton, New York",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",4,Two semiautomatic handguns,http://www.nytimes.com/2009/04/12/nyregion/12binghamton.html?pagewanted=all&_r=1&,42.0986867,"9mm Beretta, .45-caliber Springfield semiautomatic handguns",Male,Other,"Jiverly Wong, 41, opened fire at an American Civic Association center for immigrants before committing suicide.","['jiverly', 'wong', '41', 'opened', 'fire', 'american', 'civic', 'association', 'center', 'immigrants', 'committing', 'suicide', 'apparently', 'harbored', 'growing', 'paranoia', 'toward', 'cops', 'also', 'sent', 'delusional', 'letter', 'local', 'tv', 'station', 'right', 'shooting']",4/3/2009,Asian,Yes,He apparently harbored growing paranoia toward cops. He also sent a delusional letter to a local TV station right before the shooting.,-75.9179738,http://www.nytimes.com/2009/04/12/nyregion/12binghamton.html?pagewanted=all&_r=0; http://www.nytimes.com/2009/04/04/nyregion/04hostage.html?pagewanted=all,14,2009,"Gander Mountain in Johnson City, N.Y."
Carthage nursing home shooting,11,"Carthage, North Carolina",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",3,"One revolver, one shotgun",http://www.wral.com/news/local/story/9845639/,35.345802,Winchester 1300 pump-action shotgun; .357 Magnum revolver,Male,Other,"Robert Stewart, 45, opened fire at a nursing home where his estranged wife worked before he was shot and arrested by a police officer.","['robert', 'stewart', '45', 'opened', 'fire', 'nursing', 'home', 'estranged', 'wife', 'worked', 'shot', 'arrested', 'police', 'officer', 'estranged', 'wife', 'told', 'workplace', 'husband', 'unstable', 'mental', 'state', 'mentally', 'ill']",3/29/2009,white,Yes,"His estranged wife told her workplace that her husband had an ""unstable mental state or (was) mentally ill.""",-79.4170543,http://www.wral.com/news/local/story/9845639/; http://www.wral.com/news/local/story/4837676/,8,2009,Local sporting goods stores and individuals
Atlantis Plastics shooting,7,"Henderson, Kentucky",No,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",1,One semiautomatic handgun,"http://www.foxnews.com/story/0,2933,371242,00.html",37.76721,.45-caliber Hi-Point semiautomatic handgun,Male,Workplace,"Disgruntled employee Wesley Neal Higdon, 25, shot up an Atlantis Plastics factory after he was escorted out of his workplace for an argument with a supervisor. Higdon shot the supervisor outside the factory before opening fire on coworkers inside. He then committed suicide.","['disgruntled', 'employee', 'wesley', 'neal', 'higdon', '25', 'shot', 'atlantis', 'plastics', 'factory', 'escorted', 'workplace', 'argument', 'supervisor', 'higdon', 'shot', 'supervisor', 'outside', 'factory', 'opening', 'fire', 'coworkers', 'inside', 'committed', 'suicide', 'called', 'girlfriend', 'two', 'hours', 'shooting', 'say', 'going', 'kill', 'boss']",6/25/2008,white,Yes,He called his girlfriend two hours before the shooting to say he was going to kill his boss.,-87.5573742,"http://www.foxnews.com/story/0,2933,371242,00.html; http://www.msnbc.msn.com/id/25393695/ns/us_news-crime_and_courts/t/witnesses-describe-chaotic-scene-ky-plant/#.UFEbHhhgspQ",6,2008,Unknown
Northern Illinois University shooting,27,"DeKalb, Illinois",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",21,"Three semiautomatic handguns, one shotgun",http://www.cbsnews.com/stories/2008/02/16/national/main3840072.shtml,41.9294736,"9mm Glock 19, Hi-Point CF380, 9mm Kurz SIG Sauer P232 semiautomatic handguns; 12-gauge Remington Sportsman 48 sawed-off shotgun",Male,School,"Steven Kazmierczak, 27, opened fire in a lecture hall, then shot and killed himself before police arrived.","['steven', 'kazmierczak', '27', 'opened', 'fire', 'lecture', 'hall', 'shot', 'killed', 'police', 'arrived', 'high', 'school', 'parents', 'placed', 'psychiatric', 'treatment', 'center', 'told', 'friends', 'left', 'army', 'six', 'months', 'due', 'psychological', 'discharge']",2/14/2008,white,Yes,"After high school, his parents placed him at a psychiatric treatment center. He told friends he left the Army after six months due to a psychological discharge. ",-88.7503647,http://www.huffingtonpost.com/jonathan-fast/steve-kazmierczak-the-sec_b_87031.html; http://www.msnbc.msn.com/id/23171567/ns/us_news-crime_and_courts/t/college-shooters-deadly-rampage-baffles-friends/#.UFEZnhhgspQ; http://www.nytimes.com/slideshow/2008/02/14/us/0214-SHOOTING_index.html?ref=schoolshooting&gwh=B62598A5487B946A532C5846B4A85156; www.niu.edu/feb14report/Feb14report.pdf,6,2008,"Online and gun retailers in Champaign, Ill. "
Kirkwood City Council shooting,8,"Kirkwood, Missouri",No,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",2,"One semiautomatic handgun, one revolver",http://www.stltoday.com/news/local/crime-and-courts/charles-lee-cookie-thornton-behind-the-smile/article_be96f13c-78b9-11df-bfdc-0017a4a78c22.html,38.5833862,.40-caliber Smith & Wesson semiautomatic handgun; .44 Magnum Smith & Wesson Model 29 revolver,Male,Other,"Charles ""Cookie"" Lee Thornton, 52, went on a rampage at the city hall before being shot and killed by police.","['charles', 'cookie', 'lee', 'thornton', '52', 'went', 'rampage', 'city', 'hall', 'shot', 'killed', 'police', 'known', 'histrionics', 'disruptions', 'city', 'council', 'meetings', 'mounting', 'debt', 'stressor']",2/7/2008,black,No,He was known for histrionics and disruptions at city council meetings. His mounting debt was a stressor.,-90.406785,http://www.stltoday.com/news/local/crime-and-courts/charles-lee-cookie-thornton-behind-the-smile/article_be96f13c-78b9-11df-bfdc-0017a4a78c22.html; http://www.nytimes.com/2008/02/08/us/08missouri.html; http://nl.newsbank.com/nl-search/we/Archives?p_product=SL&p_theme=sl&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=11F1CADA291472F0&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM,6,2008,Taken in burglary and from fallen police officer
Westroads Mall shooting,13,"Omaha, Nebraska",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",4,One rifle (assault),http://www.guardian.co.uk/world/2007/dec/06/usa.usgunviolence2,41.2587317,WASR-10 Century Arms semiautomatic rifle,Male,Other,"Robert A. Hawkins, 19, opened fire inside Westroads Mall before committing suicide.","['robert', 'hawkins', '19', 'opened', 'fire', 'inside', 'westroads', 'mall', 'committing', 'suicide', 'treated', 'past', 'depression', 'adhd']",12/5/2007,white,No,He had been treated in the past for depression and ADHD. ,-95.9378732,"http://www.guardian.co.uk/world/2007/dec/06/usa.usgunviolence2; http://www.npr.org/templates/story/story.php?storyId=16962485; http://www.independentmail.com/news/2007/dec/08/officials-say-assault-rifles-cause-roughly-same-am/; http://www.latimes.com/news/nationworld/nation/la-na-mall7dec07,0,882178.story",9,2007,Stolen from grandfather
Crandon shooting,7,"Crandon, Wisconsin",Unclear,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",1,One rifle (assault),http://www.rivernewsonline.com/main.asp?SectionID=6&SubSectionID=47&ArticleID=368,45.5719072,AR-15 SWAT semiautomatic rifle,Male,Other,"Off-duty sheriff's deputy Tyler Peterson, 20, opened fire inside an apartment after an argument at a homecoming party. He fled the scene and later committed suicide.","['duty', ""sheriff's"", 'deputy', 'tyler', 'peterson', '20', 'opened', 'fire', 'inside', 'apartment', 'argument', 'homecoming', 'party', 'fled', 'scene', 'later', 'committed', 'suicide', 'families', 'victims', 'filed', 'wrongful', 'death', 'lawsuit', 'county', 'arguing', 'police', 'department', 'evaluated', ""gunman's"", 'mental', 'health', 'hiring']",10/7/2007,white,Yes,The families of victims filed a wrongful death lawsuit against the county arguing that the police department should have evaluated the gunman's mental health before hiring him.,-88.9028922,"http://www.rivernewsonline.com/main.asp?SectionID=6&SubSectionID=47&ArticleID=368; http://news.google.com/newspapers?id=O-MqAAAAIBAJ&sjid=u0UEAAAAIBAJ&pg=6724,5434155&dq=crandon+shooting&hl=en",6,2007,Issued by Forest County Sheriff's Department
